更新0504,#genre#
更新凤凰系列,http://iptv.tvfix.org/hls/fhzx.m3u8
更新CNN,mitv://ns2.hellotvvod.com:9906/608965b9eef84266946ad5598a892db9
FOX NEWS,mitv://198.255.74.57:11196/5f4fc8450005253dec64027e4c1317ad
节目出来慢@13,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8
要30秒@2,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8#http://iptv.tvfix.org/hls/cctv2hd.m3u8
建议超时跳转@4,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
设为30秒@E,http://117.148.179.160/PLTV/88888888/224/3221231738/index.m3u8

新闻,#genre#
凤凰中文,http://iptv.tvfix.org/hls/fhzw.m3u8
凤凰中文,http://59.44.10.116:9901/tsfile/live/1022_1.m3u8
凤凰中文,http://59.44.10.113:9901/tsfile/live/1079_1.m3u8
凤凰资讯,http://iptv.tvfix.org/hls/fhzx.m3u8
凤凰资讯,http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
凤凰资讯,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
年代新聞,mitv://ns2.hellotvvod.com:9906/a412a974b1c24427ba506b9fcd95d77b
東森新聞台,mitv://ns2.hellotvvod.com:9906/d98879e5737d4c44b3dd85bc349775e0
中天新聞台,mitv://ns2.hellotvvod.com:9906/f2b61bbfc05e47f8916dcd2513b3a0f5
民視新聞台,mitv://ns2.hellotvvod.com:9906/f2f4daa81a39490396bc2eea99fd9fd9
三立新聞台,mitv://ns2.hellotvvod.com:9906/3fc8adf766954da4bc9908ecb81184bc
TVBS新聞台,mitv://ns2.hellotvvod.com:9906/4c700aa999594ea5893d7eab1519f187
東森新闻,mitv://fccsovh.pvbox.live:18912/5c2dd7310008b3195b1f53317f5456e2.ts#mitv://fccsovh.pvbox.live:18912/5b1409520005add40bf29b36763a05a5.ts#mitv://fccseuro.pvbox.live:18912/5c7248a0000383701d5337cb153b4b51.ts#mitv://fccseuro.pvbox.live:18912/5c2dd7310008b3195b1f53317f5456e2.ts
Itv三立新闻,http://v3948069e.live.126.net/live/twslinews_MTYxNTAyNzMyNg.flv
民視新聞台,mitv://147.135.39.171:9906/5ea522940007279ddaa4243912175fe1.ts
TVBS新闻,rtmp://59.124.75.153/sat/tv551
TVBS新闻,rtmp://59.124.75.153:1935/sat/tv551
TVBS新闻,p8p://0198.02686.cc:16871/5db05ca40003699da50b30c835589bf5.ts
TVBS新闻,http://9186663.mhw183.cn/yqkkopt.php?id=077d589ce8e22da27925d6f8a71c7f959aeec539&IJK=d41qr487er12311123rd&tid=live#mitv://147.135.39.171:9906/5ea4852100052c6fd83d1a840a5e74b2.ts
寰宇新聞台,mitv://147.135.39.171:9906/5cc68d1700042feefadeb4a262de7324.ts
非凡新聞,mitv://147.135.39.171:9906/5e5a0a88000184ac3b49713b638b501b.ts
东森财经新闻,http://76.223.74.13:39554/小美QQ1332355592.php?id=12
CCTV13-新闻频道,http://39.135.138.59:18890/PLTV/88888910/224/3221225638/index.m3u8#http://iptv.tvfix.org/hls/cctv13hd.m3u8
CNBC Awaaz,mitv://ns2.hellotvvod.com:9906/d5f2b5f728a04933acfbfc0f63d6800f
CGTN,mitv://ns2.hellotvvod.com:9906/a837b60759a749d3a04991d3fbfadde3
CNN,mitv://ns2.hellotvvod.com:9906/608965b9eef84266946ad5598a892db9
BBC World News,mitv://ns2.hellotvvod.com:9906/a1e038f1cfd74f758f916dc7e17572b5
Al Jazeera English,mitv://ns2.hellotvvod.com:9906/f24308be3336455bb0f20ddcd641d725
Sky News,mitv://ns2.hellotvvod.com:9906/9abf41880e9b4ac9a94ea8124203799a
CNBC,mitv://ns2.hellotvvod.com:9906/52303054ad214adda0129d322912164d
Bloomberg TV,mitv://ns2.hellotvvod.com:9906/3e4c9ed6b58342fbaa531f02aa120a58
ABC Australia,mitv://ns2.hellotvvod.com:9906/f7003b714f114b3f8a91d6babf1f9ae2
Fox News,mitv://ns2.hellotvvod.com:9906/710fa57697834a6aba081190b8aba7d3
CBSN,mitv://ns2.hellotvvod.com:9906/8f9c3d1103124dd480b00bb645409cdc
BBC World News,http://93.190.139.35:8278/streams/d/bbcworldnews_antik/playlist.m3u8
BBC 2,http://93.190.139.35:8278/streams/d/bbc2_antik/playlist.m3u8
BBC 1,http://93.190.139.35:8278/streams/d/bbc1_antik/playlist.m3u8
BBC lifestyle,http://198.16.106.62:8278/streams/d/bbclifestyle_zero/playlist.m3u8
NBC,http://v3948069e.live.126.net/live/hwnbc_MTYxMTk4MjI2Ng.flv
CNN,https://cnn-cnninternational-1-gb.samsung.wurl.com/manifest/playlist.m3u8
ABC,http://v3948069e.live.126.net/live/hwabc_MTYxNTAzMjY2Nw.flv
RT News,http://76.223.74.13:39554/小美QQ1332355592.php?id=1025
FOX NEWS,mitv://198.255.74.57:11196/5f4fc8450005253dec64027e4c1317ad
foxbnews,tvbus://3ifEUyvkSmeiGaUDk7czat8zznAczSXQWTeHizsyS3wCekTE3L
阿拉伯半岛,http://76.223.74.13:39554/小美QQ1332355592.php?id=1144
CNBC,mitv://fccsovh.pvbox.live:18912/5b1409400000e91c05aa5f02517e6c88.ts#mitv://fccseuro.pvbox.live:18912/5b1409400000e91c05aa5f02517e6c88.ts
DW-TV,http://76.223.74.13:39554/小美QQ1332355592.php?id=1059
CBS,p8p://174.128.239.250:16871/5d1a696e0008b29f11bccd0ba35fcc88.ts
ABC 7,P2p://51.79.41.138:18912/5b593907000a2a1ed36ebf154f6842a0
凤凰香港,http://qlive.fengshows.cn/live720p/PHK.flv?txSecret=daefe6664bbeadcfb4ee2338a48d041c&txTime=16f1ea41738
澳门有线CH1,http://202.175.127.77/live/show/ch2/index.m3u8
澳门有线CH2,http://202.175.127.77/live/show/ch1/index.m3u8
澳门有线CH3,http://202.175.127.77/live/show/ch3/index.m3u8
年代新聞,p8p://0198.02686.cc:16871/5d1a69bb000e0fd711bdfb32923ec02b.ts

